*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-11-30 09:01:07:009887,Child Name:,Muhammad
2017-11-30 09:01:07:010074,Reading speed:,0.06with0.06delay
2017-11-30 09:01:07:009828,Instruction:,"NumberOfStart:
2
ChildName:
Muhammad
HandMoveSpeed:
0.06
ReadDelay:
0.08
ReadSpeed:
70
ReactionDelay:
1


# Hand move speed and read delay possible combinations 

Beginner Level: 0.05 0.1 0.7 1


Medium Level: 0.06 0.1 85 1 

Medium Level: 0.075 0.03 80 1 

High Level: 0.095 0 90 1"
2017-11-30 09:01:28:787341,Robot Hand Pose: ,"x: 0.189058095217
y: 0.0909908115864
z: 0.216656833887
x: 0.00657970784232
y: 0.485270768404
z: -0.0964920222759
w: 1.0"
2017-11-30 09:01:28:788461,Current Word:,\rspd=70\ but
2017-11-30 09:01:28:862070,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:28:863014,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:28:863317,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:28:870736,Robot State:,0.08
2017-11-30 09:01:29:059593,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:29:060547,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:29:060832,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:29:155596,Detected ARTags: ,"41, 42, 43, 44"
2017-11-30 09:01:29:156269,Detected ARTags: ,"[41, 42]"
2017-11-30 09:01:29:156197,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:01:29:258310,Detected ARTags: ,"41, 42, 43, 44"
