*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-11-30 09:16:46:949057,Child Name:,Maya
2017-11-30 09:16:46:948927,Instruction:,"NumberOfStart:
2
ChildName:
Maya
HandMoveSpeed:
0.06
ReadDelay:
0
ReadSpeed:
70
ReactionDelay:
1


# Hand move speed and read delay possible combinations 

Beginner Level: 0.05 0.1 0.7 1


Medium Level: 0.06 0.1 85 1 

Medium Level: 0.075 0.03 80 1 

High Level: 0.095 0 90 1"
2017-11-30 09:17:03:548249,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:17:03:662456,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:17:03:663485,Detected ARTags: ,"[34, 35]"
2017-11-30 09:17:03:663824,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:17:03:754921,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:17:03:755914,Detected ARTags: ,"[34, 35]"
2017-11-30 09:17:03:756319,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:17:03:853266,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:17:03:853967,Detected ARTags: ,"[34, 35]"
2017-11-30 09:17:03:854147,Current State of Reading: ,Waiting for Red-card
2017-11-30 09:17:03:955130,Detected ARTags: ,"34, 35, 36, 37"
2017-11-30 09:17:03:955717,Detected ARTags: ,"[34, 35]"
2017-11-30 09:17:03:955608,Current State of Reading: ,Waiting for Red-card
