*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-12-01 09:20:43:223009,Child Name:,Daria
2017-12-01 09:20:43:223137,Instruction:,"NumberOfStart:
1
ChildName:
Daria
HandMoveSpeed:
0.06
ReadDelay:
0
ReadSpeed:
80
ReactionDelay:
1
HandPoint:
point



# Hand move speed and read delay possible combinations 

Beginner Level: 0.05 0.1 0.7 1


Medium Level: 0.06 0.1 85 1 

Medium Level: 0.075 0.03 80 1 

2017-12-01 09:21:36:164758,Detected ARTags: ,"[92, 93]"
2017-12-01 09:21:36:269548,Detected ARTags: ,"92, 93"
2017-12-01 09:21:36:270391,Detected ARTags: ,"[92, 93]"
2017-12-01 09:21:36:270540,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:36:356068,Detected ARTags: ,"92, 93"
2017-12-01 09:21:36:356532,Detected ARTags: ,"[92, 93]"
2017-12-01 09:21:36:356603,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:36:469883,Detected ARTags: ,"92, 93"
2017-12-01 09:21:36:470631,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:36:471007,Detected ARTags: ,"[92, 93]"
2017-12-01 09:21:36:555931,Detected ARTags: ,"92, 93"
2017-12-01 09:21:36:556430,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:36:556473,Detected ARTags: ,"[92, 93]"
2017-12-01 09:21:36:671625,Detected ARTags: ,"92, 93"
2017-12-01 09:21:36:672203,Detected ARTags: ,"[92, 93]"
2017-12-01 09:21:36:672398,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:36:767159,Detected ARTags: ,"92, 93"
2017-12-01 09:21:36:768508,Detected ARTags: ,"[92, 93]"
2017-12-01 09:21:36:768340,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:36:871901,Detected ARTags: ,"92, 93"
2017-12-01 09:21:36:872801,Detected ARTags: ,"[92, 93]"
2017-12-01 09:21:36:873028,Current State of Reading: ,Waiting for Red-card
2017-12-01 09:21:36:968874,Detected ARTags: ,"92, 93"
2017-12-01 09:21:36:969526,Current State of Reading: ,Waiting for Red-card
